key	label	showSelected1	group
Andorra	Andorra	Andorra	1
United Arab Emirates	United Arab Emirates	United Arab Emirates	2
Afghanistan	Afghanistan	Afghanistan	3
Antigua and Barbuda	Antigua and Barbuda	Antigua and Barbuda	4
Albania	Albania	Albania	5
Armenia	Armenia	Armenia	6
Angola	Angola	Angola	7
Argentina	Argentina	Argentina	8
American Samoa	American Samoa	American Samoa	9
Austria	Austria	Austria	10
Australia	Australia	Australia	11
Aruba	Aruba	Aruba	12
Azerbaijan	Azerbaijan	Azerbaijan	13
Bosnia and Herzegovina	Bosnia and Herzegovina	Bosnia and Herzegovina	14
Barbados	Barbados	Barbados	15
Bangladesh	Bangladesh	Bangladesh	16
Belgium	Belgium	Belgium	17
Burkina Faso	Burkina Faso	Burkina Faso	18
Bulgaria	Bulgaria	Bulgaria	19
Bahrain	Bahrain	Bahrain	20
Burundi	Burundi	Burundi	21
Benin	Benin	Benin	22
Bermuda	Bermuda	Bermuda	23
Brunei Darussalam	Brunei Darussalam	Brunei Darussalam	24
Bolivia	Bolivia	Bolivia	25
Brazil	Brazil	Brazil	26
Bahamas, The	Bahamas, The	Bahamas, The	27
Bhutan	Bhutan	Bhutan	28
Botswana	Botswana	Botswana	29
Belarus	Belarus	Belarus	30
Belize	Belize	Belize	31
Canada	Canada	Canada	32
Congo, Dem. Rep.	Congo, Dem. Rep.	Congo, Dem. Rep.	33
Central African Republic	Central African Republic	Central African Republic	34
Congo, Rep.	Congo, Rep.	Congo, Rep.	35
Switzerland	Switzerland	Switzerland	36
Cote d'Ivoire	Cote d'Ivoire	Cote d'Ivoire	37
Chile	Chile	Chile	38
Cameroon	Cameroon	Cameroon	39
China	China	China	40
Colombia	Colombia	Colombia	41
Costa Rica	Costa Rica	Costa Rica	42
Cuba	Cuba	Cuba	43
Cape Verde	Cape Verde	Cape Verde	44
Curacao	Curacao	Curacao	45
Cyprus	Cyprus	Cyprus	46
Czech Republic	Czech Republic	Czech Republic	47
Germany	Germany	Germany	48
Djibouti	Djibouti	Djibouti	49
Denmark	Denmark	Denmark	50
Dominica	Dominica	Dominica	51
Dominican Republic	Dominican Republic	Dominican Republic	52
Algeria	Algeria	Algeria	53
Ecuador	Ecuador	Ecuador	54
Estonia	Estonia	Estonia	55
Egypt, Arab Rep.	Egypt, Arab Rep.	Egypt, Arab Rep.	56
Eritrea	Eritrea	Eritrea	57
Spain	Spain	Spain	58
Ethiopia	Ethiopia	Ethiopia	59
Finland	Finland	Finland	60
Fiji	Fiji	Fiji	61
Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	Micronesia, Fed. Sts.	62
Faeroe Islands	Faeroe Islands	Faeroe Islands	63
France	France	France	64
Gabon	Gabon	Gabon	65
United Kingdom	United Kingdom	United Kingdom	66
Grenada	Grenada	Grenada	67
Georgia	Georgia	Georgia	68
Ghana	Ghana	Ghana	69
Greenland	Greenland	Greenland	70
Gambia, The	Gambia, The	Gambia, The	71
Guinea	Guinea	Guinea	72
Equatorial Guinea	Equatorial Guinea	Equatorial Guinea	73
Greece	Greece	Greece	74
Guatemala	Guatemala	Guatemala	75
Guam	Guam	Guam	76
